,mean,sigma
eta_Wind,0.17553862318968422,0.16606561448584536
eta_Solar,0.17061670730137696,0.10388437949376059
Wind Speed [m/s],6.904232346198119,2.990986330579756
Global Tilted Irradiance [W/m2],135.57865847277847,233.603616913492
